test,loss,RNAP_dist,fold_change,k_on,width,threshold,k_off,k_cat
87,0.5503627096244565,479.1062721649191,48.9470989493932,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
88,0.0577567975840397,442.13205530514136,45.894562073126586,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
89,3.124603811885199,491.27930616306037,41.56079259779929,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
90,2.78807339139547,389.3788927125349,44.49853598175879,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
91,0.9063670074351721,415.0117657004281,47.63396300085601,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
92,1.1846570604510154,499.7328656371407,30.363104254116088,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
93,0.4246018000446815,448.91683700152794,37.605997076573686,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
94,0.04271263942789076,301.0406314536179,35.70070100688817,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
95,0.04581310761807092,266.70492410583216,43.4731391287895,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
96,2.926887347300186,422.68719047814716,33.047282442978556,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
97,13.029591411022247,359.771476204273,40.22054366992713,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
98,0.7253245926354251,340.9724807967911,49.30519747921079,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
99,1.0679519168113536,465.6412238473679,46.46180527463412,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
100,0.08395857174359773,435.5909878902582,49.96419697281635,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
101,4.849941893175923,278.68563455154896,42.26614948488881,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
102,1.640057843553235,331.2254802242594,29.098473807073525,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
103,1.3113318230185342,473.0500263136756,25.418094931754926,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
104,8.846279081543072,405.4740756024625,44.0806735918745,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
105,0.046740381406323084,368.33253800524596,39.98853357137578,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
106,14.895763529520092,386.69830669409043,33.33080477777886,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
107,3.4995164878618534,486.11146194420877,31.93967065972126,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
108,0.4216814386408924,449.82351761037245,27.86318309441749,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
109,2.3196227513708387,320.8134351631989,26.564837745833625,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
110,0.42477730124567764,343.02593031528426,35.440776793449686,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
111,7.077565829042911,195.1740631611266,40.886017859039406,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
112,1.1494862344263055,421.8456615441534,39.30016642376731,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
113,3.079883565154827,377.5831501430522,48.01379801985682,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
114,2.2773340104935844,253.33491007936058,46.574643860113014,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
115,3.932607161980807,400.79188380194404,37.57121245503174,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
